"name","pt1","pt2","pt3","pt4","pt5","x","y"
"point_0031","20190330T041551_20190330T041549_T47TNK","20190504T041559_20190504T041807_T47TNK","20190509T041551_20190509T041553_T47TNK","20190703T041559_20190703T041557_T47TNK","20190708T041551_20190708T041554_T47TNK",99.667969,44.658949
"point_0032","20190315T032531_20190315T033351_T49TFH","20190330T032539_20190330T033305_T49TFH","20190713T032541_20190713T033534_T49TFH","20190817T032539_20190817T033403_T49TFH","20191110T032951_20191110T033139_T49TFH",112.675781,43.075894
"point_0033","20181231T035141_20181231T035142_T48TYR","20190120T035051_20190120T035439_T48TYR","20190525T034549_20190525T034543_T48TYR","20200531T033541_20200531T033541_T48TYR","20200630T033541_20200630T033540_T48TYR",108.369141,45.403873
"point_0034","20190120T035051_20190120T035439_T48TWK","20191111T034959_20191111T034959_T48TXK","20200201T033951_20200201T033950_T48TXK","20200409T034529_20200409T035533_T48TWK","20200526T033539_20200526T034654_T48TXK",106.233688529457,39.8478295520059
"point_0035","20190530T034541_20190530T035004_T48SVG","20200305T034621_20200305T035050_T48SVG","20200419T034529_20200419T035626_T48SVG","20200618T034539_20200618T035655_T48SVG","20200718T034539_20200718T035651_T48SVG",104.677734,37.798811
"point_0036","20190312T040709_20190312T040916_T47TPE","20190511T040549_20190511T040624_T47TPE","20190605T040551_20190605T041251_T47TPE","20200301T040701_20200301T040700_T47TPE","20200311T040551_20200311T041059_T47TPE",100.722656,39.918951
"point_0037","20190221T042811_20190221T043725_T46SFG","20190621T042711_20190621T043605_T46SFG","20190731T042711_20190731T043732_T46SFG","20200302T042659_20200302T042843_T46SFG","20200327T042701_20200327T042700_T46SFG",94.21875,37.101473
"point_0039","20190214T071009_20190214T071007_T40TDM","20190813T070629_20190813T071307_T40TDM","20190922T070619_20190922T071745_T40TDM","20191116T071151_20191116T071148_T40TDM","20200504T070631_20200504T071034_T40TDM",56.337891,42.040697
"point_0040","20190706T065631_20190706T065757_T40TGQ","20190810T065629_20190810T065730_T40TGQ","20200102T070301_20200102T070259_T40TGQ","20200117T070219_20200117T070222_T40TGQ","20200411T065621_20200411T065631_T40TGQ",59.765625,44.846089
"point_0041","20181217T064259_20181217T064613_T41TME","20190205T064049_20190205T064048_T41TME","20190215T063949_20190215T064040_T41TME","20190705T063639_20190705T064419_T41TME","20200430T063619_20200430T064251_T41TME",62.578125,39.851548
"point_0044","20190327T100029_20190327T101005_T32QMM","20190526T100039_20190526T100712_T32QMM","20190908T100031_20190908T100836_T32QMM","20200106T100401_20200106T100404_T32QMM","20200321T100029_20200321T100458_T32QMM",8.4375,24.219366
"point_0045","20181213T111441_20181213T112144_T29RML","20190117T111409_20190117T112054_T29RML","20191128T111411_20191128T112152_T29RML","20191208T111441_20191208T112152_T29RML","20200327T110651_20200327T112144_T29RML",-9.492188,27.304096
"point_0046","20190514T182921_20190514T184336_T11SNA","20190524T182921_20190524T183901_T11SNA","20190807T182929_20190807T183850_T11SNA","20190916T183009_20190916T183727_T11SNA","20191011T183311_20191011T183723_T11SNA",-116.740723,36.371748
"point_0047","20190530T184921_20190530T185716_T11UMU","20190902T184919_20190902T185948_T11UMU","20200524T184921_20200524T185506_T11UMU","20200616T185921_20200616T190400_T11UMU","20200728T184919_20200728T184920_T11UNU",-116.938477,52.377864
"point_0048","20190424T143759_20190424T144004_T19KEP","20190524T143759_20190524T144506_T19KEP","20200119T143659_20200119T144519_T19KEP","20200309T143729_20200309T144430_T19KEP","20200607T143729_20200607T144648_T19KEP",-68.686523,-24.356607
"point_0049","20190418T142049_20190418T143006_T19GCK","20190925T142039_20190925T143329_T19GCK","20190930T142041_20190930T142839_T19GCK","20191224T141729_20191224T142751_T19GCK","20200128T141651_20200128T142738_T19GCK",-70.444336,-45.579545
"point_0050","20190421T081611_20190421T083908_T34JEL","20190526T081609_20190526T084825_T34JEL","20190620T081611_20190620T084053_T34JEL","20190819T081611_20190819T084530_T34JEL","20200227T080859_20200227T082855_T34JEL",21.3635472123455,-31.0055972601131
"point_0051","20190220T081951_20190220T083946_T34JCP","20191006T082819_20191006T084959_T34JCP","20191018T081941_20191018T084056_T34JCP","20191205T083229_20191205T085040_T34JCP","20200215T082021_20200215T084629_T34JCP",19.3232644565492,-28.5844012134851
"point_0053","20190619T084601_20190619T091421_T33KWP","20191017T084941_20191017T091204_T33KWP","20191231T085259_20191231T090759_T33KWP","20200229T084809_20200229T091048_T33KWP","20200320T084639_20200320T090953_T33KWP",15.249023,-23.716994
"point_0054","20181214T090351_20181214T092521_T33KTU","20191010T085901_20191010T091932_T33KTU","20191114T090129_20191114T092109_T33KTU","20191209T090351_20191209T091428_T33KTU","20200711T085559_20200711T092554_T33KTU",12.963867,-19.38833
"point_0055","20190319T090019_20190319T091418_T32KRF","20190428T085559_20190428T091911_T32KRF","20191010T085901_20191010T091932_T32KRF","20191224T090259_20191224T091858_T33KTA","20200207T090131_20200207T091251_T32KRF",12.260742,-17.346013
"point_0056","20190303T065809_20190303T070828_T39PTK","20190313T065649_20190313T071532_T38PRQ","20190412T065629_20190412T070829_T38PRQ","20190611T065629_20190611T071030_T39PTK","20191123T070211_20191123T070212_T39PTK",48.4894054512766,8.55994402733968
"point_0057","20190211T070019_20190211T070941_T39PVM","20191203T070241_20191203T070846_T39PVM","20200102T070301_20200102T070259_T39PVM","20200421T065621_20200421T070940_T39PVM","20200720T065631_20200720T070944_T39PVM",50.537109,10.254381
"point_0058","20191109T072121_20191109T072121_T38PNS","20191119T072211_20191119T072207_T38PNS","20200217T071951_20200217T073412_T38PNS","20200507T071621_20200507T073242_T38PNS","20200606T071621_20200606T073226_T38PNS",45.527344,10.340807
"point_0059","20181222T073319_20181222T074542_T37PHP","20190111T073259_20190111T074419_T37PHP","20190126T073201_20190126T073159_T37PHP","20190307T072741_20190307T073745_T37PHP","20191008T072759_20191008T074520_T37PHP",42.033691,11.827738
"point_0060","20190104T074319_20190104T075257_T37PFR","20190901T073619_20190901T074433_T37PFR","20200104T074311_20200104T074313_T37PFR","20200304T073801_20200304T074955_T37PFR","20200428T073609_20200428T074848_T37PFR",40.517578,14.351467
"point_0061","20190130T013719_20190130T013944_T52KDA","20190224T013711_20190224T014309_T52KDA","20190316T013711_20190316T013709_T52KDA","20200110T013711_20200110T013707_T52KDA","20200325T013709_20200325T013923_T52KDA",128.935547,-22.364223
"point_0063","20181226T004659_20181226T004702_T53HQE","20190714T004719_20190714T005309_T53HQE","20190729T004711_20190729T004711_T53HQE","20200110T004659_20200110T004700_T53HQE","20200509T004709_20200509T005258_T53HQE",137.547666421427,-31.8740348573161
"point_0064","20181217T015619_20181217T020219_T51JVH","20190317T015619_20190317T020354_T51JVH","20190615T015629_20190615T020446_T51JVH","20190622T014709_20190622T015123_T51JVH","20191102T015619_20191102T020403_T51JVH",122.321777,-29.053743
"point_0065","20190101T142749_20190101T143756_T19HCA","20190116T142751_20190116T143701_T19HCA","20190404T143759_20190404T144906_T19HCA","20200129T143659_20200129T144449_T19HCA","20200410T142731_20200410T143742_T19HCA",-70.532227,-35.525037
"point_0066","20190131T142759_20190131T143600_T19HDE","20191122T142731_20191122T143647_T19HDE","20191222T142731_20191222T143742_T19HDE","20200121T142651_20200121T143638_T19HDE","20200724T142739_20200724T143750_T19HDE",-69.65332,-32.170101
"point_0068","20190114T143749_20190114T144656_T19KFR","20190119T143751_20190119T144606_T19KFR","20190414T143759_20190414T144503_T19KFR","20190509T143751_20190509T143840_T19KFR","20200314T143721_20200314T144454_T19KFR",-67.236328,-22.343937
"point_0069","20190516T151709_20190516T152114_T18LTM","20190913T151709_20190913T152341_T18LTM","20200225T151701_20200225T152133_T18LTM","20200510T151659_20200510T152614_T18LTM","20200624T151711_20200624T151850_T18LTM",-76.871338,-11.972647
"point_0070","20190109T152639_20190109T153112_T17LRJ","20190218T152639_20190218T153311_T17LRJ","20190310T152639_20190310T153038_T17LRJ","20190419T152649_20190419T153011_T17LRJ","20191105T152639_20191105T152856_T17LRJ",-77.947998,-10.1732
"point_0071","20190114T152641_20190114T153109_T17LQL","20190509T152649_20190509T152958_T17LQL","20190708T152649_20190708T152648_T17LQL","20200124T152629_20200124T152632_T17LQL","20200218T152631_20200218T152633_T17LQL",-78.563232,-8.741897
"point_0072","20190116T151709_20190116T152029_T18LVJ","20190121T151701_20190121T152511_T18LVJ","20190317T151659_20190317T151944_T18LVJ","20190715T151709_20190715T151712_T18LVJ","20200316T151701_20200316T151812_T18LVJ",-75.794678,-14.590967
"point_0073","20190118T150721_20190118T151548_T18LXH","20190202T150719_20190202T150926_T18LXH","20191124T150721_20191124T151531_T18LXH","20200128T150709_20200128T150817_T18LXH","20200512T150731_20200512T150841_T18LXH",-73.344727,-15.998384
"point_0075","20181213T144721_20181213T144722_T19KDV","20190102T144731_20190102T144725_T19KDV","20190112T144731_20190112T144727_T19KDV","20190201T144731_20190201T145629_T19KDV","20200226T144721_20200226T145600_T19KDV",-69.741211,-18.746581
"point_0079","20190120T203751_20190120T203749_T08VMM","20190624T202849_20190624T203750_T08VMM","20190706T201851_20190706T202346_T08VMM","20200630T201851_20200630T202618_T08VMM","20200725T201849_20200725T202524_T08VMM",-135.395508,59.912165
"point_0080","20190803T193911_20190803T194902_T09UWV","20190828T193909_20190828T193906_T09UWV","20190902T193901_20190902T194535_T09UWV","20190927T194159_20190927T194906_T09UWV","20200728T193911_20200728T194606_T09UWV",-128.100586,53.78895
"point_0082","20190526T190921_20190526T191643_T10UDB","20190603T191919_20190603T192103_T10UDB","20191013T191341_20191013T191802_T10UDB","20200707T191909_20200707T192951_T10UDB","20200724T190919_20200724T191132_T10UDB",-123.826904,51.063457
"point_0083","20190630T190919_20190630T191707_T10UEA","20200515T190909_20200515T191310_T10UEA","20200520T190921_20200520T191708_T10UEA","20200619T190921_20200619T191722_T10UEA","20200714T190919_20200714T191949_T10UEA",-121.937256,50.136573
"point_0084","20190722T180929_20190722T181308_T12TXQ","20190821T180919_20190821T181254_T12TWR","20200611T180921_20200611T181204_T12TWR","20200701T180921_20200701T181431_T12TWQ","20200721T180921_20200721T181627_T12TWR",-109.684558732713,45.0864547436561
"point_0085","20190623T182921_20190623T183717_T11TPJ","20190822T182921_20190822T183216_T11TPJ","20190911T182921_20190911T183249_T11TPJ","20200602T182919_20200602T183556_T11TPJ","20200707T182921_20200707T183250_T11TPJ",-115.070801,43.994503
"point_0086","20190702T180929_20190702T182116_T12TXP","20190707T180921_20190707T180950_T12TXP","20200517T180919_20200517T181919_T12TXP","20200716T180919_20200716T181939_T12TXP","20200721T180921_20200721T181627_T12TXP",-109.379883,43.91546
"point_0087","20190131T182611_20190131T183119_T11SNU","20190317T182109_20190317T182716_T11SNU","20190516T181929_20190516T182446_T11SNU","20190730T181931_20190730T183134_T11SNU","20200121T182649_20200121T182946_T11SNU",-115.97168,34.457567
"point_0088","20190816T104029_20190816T105508_T30QWG","20190905T104029_20190905T104455_T30QWG","20190930T104021_20190930T104936_T30QWG","20200103T104339_20200103T105058_T30QWG","20200611T103629_20200611T104747_T30QWG",-2.8125,19.676432
"point_0091","20190112T084319_20190112T084655_T35QLU","20190611T083609_20190611T084501_T35QLU","20190711T083609_20190711T084452_T35QLU","20190909T083559_20190909T085541_T35QLU","20191024T084021_20191024T084512_T35QLU",25.839844,16.335481
"point_0092","20181218T070301_20181218T070301_T39QVB","20190216T065941_20190216T070806_T39QVB","20190709T070631_20190709T072132_T39QVB","20200725T065629_20200725T071354_T39QVB","20200728T070629_20200728T072353_T39QVB",50.712891,19.743065
"point_0093","20190104T065251_20190104T065440_T40SEC","20190419T064629_20190419T065832_T40SEC","20190507T065631_20190507T070853_T40SEC","20191029T070009_20191029T070052_T40SEC","20191031T065021_20191031T065018_T40SEC",57.304688,34.16967
"point_0094","20190317T142751_20190317T143036_T19KHT","20190501T142759_20190501T143600_T19KHT","20191217T142729_20191217T143655_T19KHT","20191227T142729_20191227T143656_T19KHT","20200321T142731_20200321T143740_T19KHT",-65.9758072349359,-20.71105589314
"point_0096","20181222T142749_20181222T143754_T19KHP","20190327T142751_20190327T142752_T19KHP","20200111T142701_20200111T143723_T19KHP","20200215T142649_20200215T143542_T19KHP","20200624T142739_20200624T143750_T20KKU",-65.830078,-23.719177
"point_0097","20181227T142751_20181227T143741_T19JFK","20190126T142751_20190126T143621_T19JFK","20190225T142751_20190225T143548_T19JFK","20191023T142731_20191023T143555_T19JFK","20200210T142721_20200210T143544_T19JFK",-67.807617,-27.970128
"point_0098","20190317T142751_20190317T143036_T19HDC","20190516T142801_20190516T143512_T19HDC","20191013T142731_20191013T143747_T19HDC","20191018T142759_20191018T143626_T19HDC","20191222T142731_20191222T143742_T19HDC",-69.56543,-34.103526
"point_0099","20190423T142041_20190423T142840_T19GER","20190503T142041_20190503T142841_T19GER","20190518T142049_20190518T142951_T19GER","20190727T142049_20190727T143022_T19GER","20191124T141729_20191124T142742_T19GER",-68.554688,-40.594683
"point_0100","20190117T140051_20190117T141300_T19GGM","20190301T141041_20190301T141747_T19GGM","20190902T141049_20190902T142421_T19GGM","20200204T140641_20200204T141733_T19GGM","20200424T141051_20200424T142022_T19GGM",-65.983887,-43.720821
"point_0101","20181225T143749_20181225T144653_T19JCK","20190419T143801_20190419T144453_T19JCK","20190519T143751_20190519T144709_T19JCK","20190608T143751_20190608T144708_T19JCK","20190723T143759_20190723T144506_T19JCK",-70.422363,-27.725543
"point_0103","20190417T144739_20190417T145615_T19KCA","20191213T144719_20191213T145722_T19KCA","20200401T144729_20200401T145602_T19KCA","20200501T144719_20200501T145601_T19KCA","20200526T144731_20200526T145503_T19KCA",-70.620117,-17.93915
"point_0104","20190405T145731_20190405T145751_T18KYG","20190530T145739_20190530T150418_T18KYG","20200125T145719_20200125T150550_T18KYG","20200130T145721_20200130T150612_T18KYG","20200330T145721_20200330T150217_T18KYG",-72.333984,-16.606182
"point_0105","20190324T150719_20190324T150915_T18LWH","20191005T150721_20191005T151109_T18LWH","20200118T150719_20200118T150837_T18LWH","20200318T150719_20200318T151445_T18LWH","20200323T150721_20200323T151606_T18LWH",-74.344482,-15.624235
"point_0106","20190509T152649_20190509T152958_T18LTN","20191220T152631_20191220T153056_T18LTN","20200304T152639_20200304T153356_T18LTN","20200612T152639_20200612T153318_T18LTN","20200617T152651_20200617T152645_T18LTN",-77.1961413787788,-11.3713820373323
"point_0107","20190419T152649_20190419T153011_T17LQK","20200119T152631_20200119T152633_T17LQK","20200503T152639_20200503T152846_T17LQK","20200518T152641_20200518T152644_T17LQK","20200722T152639_20200722T153455_T17LQK",-78.299561,-9.168369
"point_0108","20190118T113411_20190118T114016_T28QEL","20190403T113319_20190403T114028_T28QEL","20191020T113319_20191020T113845_T28QEL","20191114T113331_20191114T114025_T28QEL","20191219T113409_20191219T114018_T28QEL",-14.238281,22.82859
"point_0109","20180101T091351_20180101T091755_T34RFU","20181217T091401_20181217T091355_T34RFU","20191112T091221_20191112T091330_T34RFV","20200215T091019_20200215T092112_T34RFV","20200410T090551_20200410T090900_T34RFU",22.236328,30.670849
"point_0110","20190109T101409_20190109T101406_T32SKB","20190124T101311_20190124T101314_T32SKA","20191230T101421_20191230T101423_T32SKA","20200408T101021_20200408T101923_T32SKB","20200531T102031_20200531T102434_T32SKB",6.503906,32.468612
"point_0111","20180211T084101_20180211T084934_T35RPN","20180313T083731_20180313T085057_T35RPN","20180909T083601_20180909T084921_T35RPN","20190206T084131_20190206T084639_T35RPN","20190417T083601_20190417T084844_T35RPN",28.652344,29.146625
"point_0113","20190120T080239_20190120T080536_T37SFT","20190420T075619_20190420T080031_T37SGT","20191022T075951_20191022T080822_T37SGT","20200115T080159_20200115T080530_T37SGT","20200524T075609_20200524T080955_T37SFT",41.216065911272,33.7794497954377
"point_0114","20190211T075041_20190211T075528_T38RLU","20190409T073611_20190409T074435_T38RLV","20190412T074611_20190412T080028_T38RLV","20191110T074039_20191110T074716_T38RLV","20200218T073949_20200218T075102_T38RLU",43.681641,30.692113
"point_0115","20180202T081241_20180202T081331_T37SDT","20190128T081211_20190128T082008_T37SDT","20190423T080619_20190423T081724_T37SDT","20200318T080639_20200318T081023_T37SDT","20200412T080611_20200412T081101_T37SDT",38.210449,33.942187
"point_0116","20190121T064201_20190121T064159_T40RGP","20190215T063949_20190215T064934_T40RGP","20190819T063631_20190819T064620_T40RGP","20200126T064141_20200126T064135_T40RGP","20200714T063631_20200714T064824_T40RGP",59.2559573800164,26.0288009583122
"point_0117","20190213T065001_20190213T065850_T40SGA","20190220T063911_20190220T065010_T40SGA","20190409T064629_20190409T064856_T40SFA","20191215T065259_20191215T065257_T40SFA","20200116T064221_20200116T064216_T40SGA",59.1715056788471,31.7974246552557
"point_0118","20190115T071239_20190115T071732_T40SBD","20190430T070631_20190430T071501_T39SYU","20191002T070719_20191002T071445_T39SYU","20200330T070619_20200330T071921_T40SBD","20200414T070621_20200414T071116_T39SYU",54.1710928925902,34.4818487361102
"point_0119","20190127T052101_20190127T052059_T44SNJ","20190318T051651_20190318T052212_T44SPJ","20190407T051651_20190407T051652_T44SPJ","20190805T051701_20190805T051655_T44SNJ","20200421T051651_20200421T052353_T44SNJ",82.2180637088191,39.1843065554606
"point_0120","20190302T045721_20190302T050545_T45TXE","20190829T045701_20190829T045729_T45TXE","20191008T045701_20191008T050028_T45TXE","20191020T044819_20191020T044922_T45TXE","20191219T045209_20191219T045214_T45TXE",89.208984,39.839702
"point_0121","20190129T042031_20190129T042347_T47TLG","20190330T041551_20190330T041549_T47TLG","20190623T041559_20190623T041622_T47TMG","20200223T041751_20200223T041751_T47TLG","20200508T041549_20200508T041840_T47TMG",97.866211,41.588605
"point_0122","20190108T040139_20190108T040136_T48TUM","20190309T035609_20190309T040144_T48TUM","20190930T035541_20190930T040012_T48TUM","20191129T040121_20191129T040445_T48TUM","20200701T035539_20200701T040317_T48TUM",103.741656894156,42.1191270656248
"point_0123","20190127T034021_20190127T034019_T49TCJ","20190417T033541_20190417T033835_T49TCJ","20190711T033549_20190711T033859_T49TCJ","20200211T033851_20200211T034315_T49TCJ","20200720T033541_20200720T033837_T49TCJ",109.006348,43.896192
"point_0124","20190131T221601_20190131T221557_T60HUB","20190215T221309_20190215T221543_T60HUB","20190416T221609_20190416T221613_T60HUB","20190620T221601_20190620T221604_T60HUB","20200719T221609_20200719T221605_T60HUB",175.657654,-39.31762
"point_0125","20181218T034141_20181218T034137_T48TYM","20190127T034021_20190127T034019_T49TBG","20200416T033529_20200416T034504_T49TBG","20200615T033539_20200615T034427_T49TBG","20200725T033539_20200725T033537_T49TBG",108.237305,42.159551
"point_0126","20190515T202849_20190515T203536_T08WNS","20190609T202851_20190609T202846_T08WNS","20190702T204021_20190702T204023_T08WNS","20190912T203029_20190912T203028_T08WNS","20200626T204021_20200626T204024_T08WNS",-134.296875,64.73618
"point_0127","20190611T201859_20190611T201856_T09WVM","20190827T200859_20190827T201355_T09WVM","20200529T202849_20200529T203207_T09WVM","20200610T201901_20200610T202155_T09WVM","20200628T202849_20200628T203016_T09WVM",-130.36377,64.434307
"point_0128","20190625T195909_20190625T195904_T09VXK","20190710T195901_20190710T200422_T09VWJ","20190722T194909_20190722T195557_T09VWK","20200306T200301_20200306T200258_T09VXK","20200619T195859_20200619T200419_T09VXK",-126.955863829145,62.1773670601619
"point_0129","20190426T195909_20190426T200330_T09VXK","20190612T194909_20190612T195244_T10VCQ","20190712T194909_20190712T195307_T09VXK","20190918T200101_20190918T200100_T10VCQ","20200525T195901_20200525T200619_T10VCR",-125.732872537026,63.0435514634617
"point_0130","20190531T214531_20190531T214532_T06WVB","20190603T215531_20190603T215531_T06WVB","20200601T213541_20200601T213535_T06WVB","20200609T214529_20200609T214532_T06WVB","20200627T215531_20200627T215534_T06WVB",-147.161865,68.732105
"point_0131","20190425T212531_20190425T212525_T06WWB","20190705T214539_20190705T214538_T06WWB","20200611T213541_20200611T213535_T06WWB","20200613T212529_20200613T212524_T06WWB","20200711T213531_20200711T213533_T06WWB",-144.613037,68.946346
"point_0132","20181215T065251_20181215T065254_T40QDL","20181230T065259_20181230T065356_T40QDL","20190414T064631_20190414T065820_T40QDL","20190519T064629_20190519T065808_T40QDL","20190718T064629_20190718T065501_T40QDL",56.337891,22.669721
"point_0135","20181228T043209_20181228T043203_T47TLJ","20190122T043101_20190122T043322_T47TLJ","20190427T042709_20190427T042811_T47TLJ","20190626T042709_20190626T042813_T47TLJ","20200730T042709_20200730T043035_T47TLJ",96.987305,44.083803
"point_0136","20190115T044131_20190115T044130_T46TEL","20190629T043709_20190629T043709_T46TEL","20190808T043709_20190808T044526_T46TEL","20191012T043721_20191012T044322_T46TEL","20200608T043711_20200608T044347_T46TEL",93.55957,40.908271
"point_0137","20190106T050209_20190106T050521_T45SVV","20190605T045709_20190605T050211_T45SVV","20190615T045709_20190615T045858_T45SVV","20190908T045701_20190908T045941_T45SVV","20190928T045701_20190928T045929_T45SVV",87.055664,35.239843
"point_0138","20190203T051021_20190203T051019_T44SPB","20190218T050849_20190218T051729_T44SPB","20200508T050701_20200508T050657_T44SPB","20200523T050659_20200523T051315_T44SPB","20200727T050701_20200727T051233_T44SPB",82.705078,32.764287
"point_0139","20190722T044709_20190722T045537_T45RWM","20190915T044701_20190915T045115_T45RWM","20200222T044811_20200222T045613_T45RWM","20200417T044659_20200417T045549_T45RWM","20200621T044711_20200621T045324_T45RWM",87.758789,28.339893
